play_id,character_chosen,first_elite,damage_taken,floor,victory
0120db50-1c60-48d4-9f12-945451f97f57,IRONCLAD,Lagavulin,10.0,10.0,True
01dd86f4-4f4a-49b8-904e-c84729adc2eb,DEFECT,Lagavulin,11.0,7.0,False
023b1206-bc7a-4780-a98d-3216f9dc8e5a,DEFECT,Lagavulin,20.0,10.0,False
03c54490-221a-4b43-bf6d-d0c19f667c2a,THE_SILENT,Gremlin Nob,1.0,7.0,True
0504a493-9793-4e1b-92c1-192e7b18352c,IRONCLAD,Gremlin Nob,0.0,6.0,True
05ab3693-bdfe-492f-8db7-a9cf42b84777,WATCHER,Lagavulin,4.0,7.0,False
06dbe135-93d3-42b0-a625-d766ad802847,WATCHER,Gremlin Nob,0.0,6.0,False
073c59b9-fddf-4371-9304-1c29c00bef70,IRONCLAD,Gremlin Nob,11.0,6.0,False
074d5bbd-6274-44e1-ae1f-803728aae8db,WATCHER,3 Sentries,27.0,8.0,True
07dd3c4c-f43e-4061-b97f-bb0b0b830e09,DEFECT,Gremlin Nob,30.0,6.0,True
0b4abfed-86b4-46c2-a498-2a785428078e,DEFECT,Lagavulin,7.0,7.0,True
0c368ac8-c0d7-454f-83f4-a5f43e764c42,WATCHER,3 Sentries,0.0,11.0,True
0c4ab2db-4431-4cfc-99be-42744d2baf81,IRONCLAD,3 Sentries,0.0,8.0,True
0c82fae6-be26-4913-b1d7-1ed79c354250,IRONCLAD,Gremlin Nob,13.0,6.0,True
0e99c963-845f-4c3a-b8d8-4732c0ef8484,IRONCLAD,Lagavulin,63.0,6.0,True
0f357053-2d90-4ead-b99e-3613ff69602b,WATCHER,3 Sentries,17.0,6.0,False
0f506977-581c-4e8e-9540-517d26506b0e,WATCHER,3 Sentries,2.0,6.0,True
0f97c635-95c4-49d3-9323-ce447df1f0d4,IRONCLAD,Gremlin Nob,8.0,6.0,False
100cc341-5f37-4ca0-ac15-6fb857b5112a,WATCHER,Gremlin Nob,4.0,7.0,False
1019ed6f-2c84-4d56-b2d2-a53ced95c234,THE_SILENT,Gremlin Nob,17.0,12.0,True
103add4a-0049-49dc-8f62-c05c5368df11,THE_SILENT,Gremlin Nob,1.0,7.0,False
11900d1b-3b09-4c55-97d6-1dc451bbcb99,WATCHER,3 Sentries,17.0,7.0,True
11ed60ee-d684-4ed1-b2b1-8a2f23156e4f,DEFECT,Gremlin Nob,3.0,7.0,True
1372bf77-8e2f-4d98-95ca-32cd69e9cf66,THE_SILENT,3 Sentries,14.0,7.0,False
138f1459-d815-4a67-9086-01961204efed,DEFECT,Gremlin Nob,0.0,7.0,False
14536cc5-14ba-40b7-b7d2-9637f18f7c7c,THE_SILENT,Gremlin Nob,37.0,6.0,True
147b26aa-f732-4bc8-92d2-73f950dc8d0b,WATCHER,Lagavulin,10.0,10.0,True
174ba3d2-09b3-464b-99a4-93726966d06f,THE_SILENT,Lagavulin,20.0,10.0,False
17b8f665-df0d-40fa-93df-18d5295801e3,DEFECT,Gremlin Nob,11.0,8.0,False
17c3cb39-bf29-46da-abe7-a9af69f3c3f1,THE_SILENT,Lagavulin,50.0,7.0,False
1ba7e7de-26c0-4d6c-b140-0116ed6ca900,DEFECT,Lagavulin,8.0,8.0,True
1bb9c959-f30a-488b-8bdd-1d568d7741f6,DEFECT,Gremlin Nob,25.0,8.0,False
1c802c17-9bd1-491d-9c02-fc47a65f330e,DEFECT,3 Sentries,8.0,6.0,False
1d1f6b70-5011-420a-8b62-ba24ff99e125,THE_SILENT,Lagavulin,44.0,8.0,True
1d4c58be-406c-4a3e-8cdf-333c33036b18,THE_SILENT,3 Sentries,11.0,10.0,True
1d6ed096-52e6-443e-af7c-e75c1a55b286,WATCHER,Gremlin Nob,6.0,6.0,True
1dbb4750-a3a0-4410-b169-c992bc6447ea,THE_SILENT,3 Sentries,26.0,6.0,False
1e06b5a9-f305-4c98-9e48-dc4c7cd5d694,IRONCLAD,Lagavulin,2.0,8.0,True
1e7e2eae-7ff1-44cf-9ffb-df6cdd859403,IRONCLAD,Lagavulin,4.0,7.0,True
1ecbc9fb-9691-473e-99d4-26edc60a83a4,THE_SILENT,Gremlin Nob,2.0,6.0,True
1f2de10d-33da-43e5-ac1a-c9333cb139c4,THE_SILENT,Lagavulin,5.0,8.0,True
1f618d21-3f49-44e8-a075-702c6584e60e,WATCHER,Lagavulin,0.0,10.0,True
20eb78c1-046a-4c5d-b54b-03255f8a794d,WATCHER,Gremlin Nob,0.0,8.0,True
21b1f1c7-9770-4e52-ac9a-3569202c63d3,IRONCLAD,Lagavulin,32.0,6.0,False
230d4ad1-ce84-4c85-b946-74223b1701be,WATCHER,Lagavulin,0.0,6.0,True
234199da-5102-491a-9403-ec916a24db83,IRONCLAD,3 Sentries,0.0,6.0,False
2379da81-905f-4134-aec1-baaa465e3ddf,WATCHER,Gremlin Nob,0.0,8.0,True
248069bd-fef9-47c2-b64d-9da0c3851f89,IRONCLAD,3 Sentries,16.0,7.0,False
2494a155-d286-4bd1-9c38-4b83f50d5b26,THE_SILENT,3 Sentries,2.0,6.0,True
24c182d8-a05a-4c81-ab70-2efa579ff6a3,THE_SILENT,Lagavulin,3.0,6.0,True
2516e61f-bc00-4d33-bb6b-1a2db41840b8,WATCHER,Lagavulin,12.0,6.0,False
25f087d3-22e2-4811-a8d8-9cbd090f398c,WATCHER,Gremlin Nob,24.0,12.0,False
26a631ca-6876-491a-9085-c593cc5160b8,WATCHER,3 Sentries,7.0,7.0,True
26ff7af3-d570-4282-b754-ce3adaafd477,THE_SILENT,Lagavulin,12.0,8.0,False
27638d75-4027-40de-8d68-5f8e9658a3fd,WATCHER,Gremlin Nob,0.0,6.0,True
2794780b-7373-4cb0-b5e9-449c379b53b0,THE_SILENT,3 Sentries,43.0,10.0,False
284ccd9e-6a6e-4a29-a24d-9479804ac80f,THE_SILENT,3 Sentries,4.0,14.0,False
2924a05d-d83d-400f-ab29-4151c56c7d39,DEFECT,3 Sentries,20.0,7.0,True
2b851f7e-3614-4166-b105-c2b76403bf73,THE_SILENT,3 Sentries,2.0,7.0,False
2b8697a0-acf7-4ef4-bb72-e345ae3b5bbf,DEFECT,3 Sentries,0.0,6.0,True
2c8ebe48-eefd-4a78-bb0d-00f10f19b119,THE_SILENT,3 Sentries,6.0,11.0,False
2cac282d-097b-4e4a-a61c-4d396be367e9,THE_SILENT,3 Sentries,2.0,11.0,False
2cb763e6-f469-48e6-8569-1f0b44f0e46d,WATCHER,Gremlin Nob,0.0,8.0,True
2dc51794-9778-46c0-a9ea-1fd6764d852e,THE_SILENT,Lagavulin,0.0,6.0,True
2fc4bc10-68e2-4405-9c6d-9a4a192cd690,DEFECT,Lagavulin,14.0,7.0,False
304a66b1-94a6-4c10-be0c-fbbb983a6627,WATCHER,Gremlin Nob,14.0,7.0,True
311a20c4-bebb-4196-8d82-c7944221f6b5,IRONCLAD,3 Sentries,15.0,7.0,False
32c9922a-26d1-4aa5-b7e0-75e38493b9e7,DEFECT,3 Sentries,8.0,11.0,True
331a42ab-ce0a-4f2e-9b08-07aa17014dbf,DEFECT,3 Sentries,5.0,10.0,True
3379fb58-d306-44ef-85f1-36e1648f823a,THE_SILENT,Gremlin Nob,20.0,7.0,False
33b948a0-9282-4130-bbf6-c9458510ab4e,WATCHER,Lagavulin,25.0,6.0,True
347fc094-4914-4c0b-8f37-3d4e013997aa,IRONCLAD,Gremlin Nob,0.0,6.0,False
3486ec09-257d-42d7-b676-10c59f5e05f1,IRONCLAD,Gremlin Nob,24.0,8.0,True
354c0a6a-a904-4ad9-96e8-df4758c5acb6,WATCHER,3 Sentries,12.0,11.0,False
36cc1940-9273-4880-928e-9b4dd3d222bd,DEFECT,Lagavulin,0.0,6.0,True
37cce07f-2ef3-422d-9de1-0ba37e58a4b0,DEFECT,3 Sentries,0.0,7.0,True
3829b511-40ae-43d1-8199-d4fd3437c734,DEFECT,Gremlin Nob,45.0,7.0,False
38c94d8e-9260-46b2-a09f-773ec005f0b2,WATCHER,3 Sentries,12.0,7.0,True
399a24cf-7f77-4089-9a31-8700194bbd85,THE_SILENT,Gremlin Nob,0.0,8.0,True
3b1905ff-d795-4933-b2c4-d25fa36b5b6d,WATCHER,3 Sentries,12.0,10.0,False
3b25cb5f-f33d-4328-be7f-890b5517654b,THE_SILENT,3 Sentries,0.0,6.0,True
3b864876-d4b7-48ad-9a65-1428c83cbb74,THE_SILENT,Lagavulin,15.0,6.0,False
3c9e57be-92ad-4fcd-b0a0-f10c89ba771e,THE_SILENT,Gremlin Nob,79.0,6.0,False
3d0e50e8-dc13-4699-91de-51e992b63e98,DEFECT,Lagavulin,0.0,10.0,False
3d107bb1-40ef-4175-990a-437476e73421,IRONCLAD,Lagavulin,28.0,7.0,False
3df262e3-f920-4ea2-b9cc-c31a22c3f780,IRONCLAD,3 Sentries,52.0,7.0,False
3fd41828-7024-43bf-8bf9-07c4d949f52b,WATCHER,Gremlin Nob,0.0,7.0,True
4144e039-acb5-4b9c-83ab-9ae44756545c,DEFECT,Lagavulin,14.0,14.0,True
41b4e397-cdca-4af7-a7fa-8fb9b830ee9e,DEFECT,Lagavulin,15.0,10.0,False
42362b89-b051-44ac-a019-9744beeec923,WATCHER,3 Sentries,16.0,7.0,True
4254ffb0-c46a-4212-b203-f0510ecdee09,DEFECT,Gremlin Nob,0.0,6.0,True
42ecd8cc-a8d2-4e46-8825-7934e21002fe,THE_SILENT,Gremlin Nob,20.0,7.0,False
43251086-6c66-4cf5-b675-48bc5a6379f3,IRONCLAD,Gremlin Nob,41.0,7.0,True
4544831a-2359-4a79-a5ed-c58113817be1,THE_SILENT,Lagavulin,12.0,8.0,False
46dbe5a1-d961-469c-9309-571bb868ac69,WATCHER,Lagavulin,8.0,6.0,True
48783f1a-0880-47a0-958b-e8c94a7dcf2c,IRONCLAD,3 Sentries,35.0,6.0,False
491594c9-e904-40a4-9e28-9db1413a3a3b,WATCHER,Gremlin Nob,0.0,7.0,False
49b7440f-db4c-4667-ae05-8db46ee82422,IRONCLAD,Gremlin Nob,19.0,6.0,False
