play_id,character_chosen,Card_Name,floor,victory,Card_Picked_Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Armaments,1,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Flex,1,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Headbutt,1,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Reckless Charge,3,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Searing Blow,3,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Carnage,3,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Whirlwind,6,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Wild Strike,6,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Disarm,6,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Clothesline,8,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Sword Boomerang,8,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Double Tap,8,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Sword Boomerang,10,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Clothesline,10,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Flex,10,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,SKIP,10,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Twin Strike,13,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Whirlwind,13,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Iron Wave,13,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Corruption,16,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Exhume,16,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Offering,16,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Headbutt,18,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Power Through,18,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Flame Barrier,18,1,Card Picked
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Perfected Strike,19,1,Card Skipped
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,Heavy Blade,19,1,Card Skipped
