play_id,character_chosen,floor,node
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,1,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,2,?
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,3,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,4,?
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,5,?
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,6,E
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,7,R
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,8,E
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,9,T
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,10,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,11,T
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,12,T
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,13,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,14,$
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,15,R
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,16,B
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,17,
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,18,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,19,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,20,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,21,?
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,22,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,23,E
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,24,R
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,25,E
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,26,T
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,27,R
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,28,$
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,29,R
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,30,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,31,?
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,32,R
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,33,B
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,34,
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,35,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,36,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,37,M
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,38,M
